data,preco,volume,symbol
2025-02-22,2763.22,444989.6669,ETHUSDT
2025-02-23,2819.69,611002.1222,ETHUSDT
2025-02-24,2513.52,876876.3707,ETHUSDT
2025-02-25,2495.7,1322016.8718,ETHUSDT
2025-02-26,2336.37,863087.2133,ETHUSDT
2025-02-27,2307.72,637583.9106,ETHUSDT
2025-02-28,2237.59,1291539.0557,ETHUSDT
2025-03-01,2217.39,446430.7271,ETHUSDT
2025-03-02,2518.11,1266684.7748,ETHUSDT
2025-03-03,2149.01,1109565.2003,ETHUSDT
2025-03-04,2171.51,1257822.3372,ETHUSDT
2025-03-05,2241.59,687130.7897,ETHUSDT
2025-03-06,2202.2,596908.3935,ETHUSDT
2025-03-07,2141.6,782387.2606,ETHUSDT
2025-03-08,2203.58,328793.0979,ETHUSDT
2025-03-09,2020.41,601671.5882,ETHUSDT
2025-03-10,1865.1,1248745.3514,ETHUSDT
2025-03-11,1923.43,1171427.9995,ETHUSDT
2025-03-12,1908.2,788739.6763,ETHUSDT
2025-03-13,1864.59,569537.2622,ETHUSDT
2025-03-14,1911.65,375805.7355,ETHUSDT
2025-03-15,1937.17,209545.8675,ETHUSDT
2025-03-16,1887.0,324766.6564,ETHUSDT
2025-03-17,1926.31,334840.4877,ETHUSDT
2025-03-18,1931.54,332896.0155,ETHUSDT
2025-03-19,2056.06,691809.5034,ETHUSDT
2025-03-20,1983.79,401518.9282,ETHUSDT
2025-03-21,1965.75,262641.659,ETHUSDT
2025-03-22,1980.69,170782.9574,ETHUSDT
2025-03-23,2005.99,268707.5233,ETHUSDT
2025-03-24,2081.2,477912.8154,ETHUSDT
2025-03-25,2066.15,328765.3292,ETHUSDT
2025-03-26,2009.52,428975.3286,ETHUSDT
2025-03-27,2003.66,360634.8383,ETHUSDT
2025-03-28,1896.9,626167.5832,ETHUSDT
2025-03-29,1828.08,409769.7555,ETHUSDT
2025-03-30,1807.74,327843.4476,ETHUSDT
2025-03-31,1822.43,497854.9052,ETHUSDT
2025-04-01,1904.98,452989.0974,ETHUSDT
2025-04-02,1795.22,750840.7823,ETHUSDT
